Burrito,Date,Chips,Cost,Hunger,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Great
California,2/17/2016,0,6.4,2.5,,,,3.5,3.0,3.0,3.0,4.0,4.0,1.5,3.586992840095464,4.5,3.5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,2/24/2016,0,8.75,3.5,,,,1.5,2.0,3.0,3.5,4.0,1.0,3.5,4.5,4.0,4.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,2/24/2016,0,5.5,2.5,,,,1.5,2.5,3.5,3.0,4.0,1.5,2.5,3.5,4.5,3.5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,2/28/2016,0,7.49,2.5,,,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.6,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,2/28/2016,0,7.49,2.5,,,,3.0,2.0,4.5,4.0,4.0,3.5,3.0,4.5,4.5,4.5,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,2/29/2016,0,6.0,3.5,,,,2.5,2.5,3.0,4.0,4.0,4.0,3.0,3.5,1.5,3.8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Asada,2/29/2016,0,7.0,3.5,,,,2.5,3.0,3.0,4.0,2.0,2.0,3.0,3.5,3.5,3.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,3/3/2016,0,6.29,3.5,,,,3.5,5.0,4.0,4.0,3.5,4.5,3.5,3.5,4.0,4.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,True
Other,3/3/2016,0,6.49,4.5,,,,3.0,5.0,4.0,4.0,5.0,4.0,2.5,4.5,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Other,3/3/2016,0,6.49,4.5,,,,3.0,4.5,3.5,3.5,3.5,3.0,3.0,3.0,4.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
